iter	Passed	Remaining
0	0	63
1	1	59
2	1	54
3	2	51
4	2	52
5	3	52
6	3	51
7	4	51
8	4	50
9	5	49
10	6	49
11	6	48
12	7	47
13	7	46
14	8	46
15	8	45
16	9	44
17	9	44
18	10	44
19	10	43
20	11	43
21	12	43
22	12	42
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	18	40
31	18	39
32	19	39
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
